,movie_title,year,length,movie_genre,movie_rating,star_rating,gross_amount
0,127 Hours,2010,94 min,"Biography, Drama",R,7.5,"18,335,230"
1,100 Rifles,1969,110 min,"Adventure, Drama, War",R,6,N/A
2,The Hunger Games,2012,142 min,"Action, Adventure, Sci-Fi",PG-13,7.2,"408,010,692"
3,The Hunger Games: Catching Fire,2013,146 min,"Action, Adventure, Sci-Fi",PG-13,7.5,"424,668,047"
4,A Beautiful Mind,2001,135 min,"Biography, Drama",PG-13,8.2,"170,742,341"
5,A Civil Action,1998,115 min,Drama,PG-13,6.6,"56,702,901"
6,A Clockwork Orange,1971,136 min,"Crime, Sci-Fi",R,8.3,"6,207,725"
7,A Good Year,2006,117 min,"Comedy, Drama, Romance",PG-13,6.9,"7,458,269"
8,A Little Romance,1979,110 min,"Adventure, Comedy, Romance",PG,7.4,N/A
9,A Room with a View,1985,117 min,"Drama, Romance",Not Rated,7.2,"20,966,644"
10,A Walk to Remember,2002,101 min,"Drama, Romance",PG,7.3,"41,281,092"
11,About a Boy,2002,101 min,"Comedy, Drama, Romance",PG-13,7.1,"41,385,278"
12,All That Heaven Allows,1955,89 min,"Drama, Music, Romance",Passed,7.6,N/A
13,All the Pretty Horses,2000,116 min,"Drama, Romance, Western",PG-13,5.8,"15,527,125"
14,Message in a Bottle,1999,126 min,"Drama, Romance",PG-13,6.2,"52,880,016"
15,The Lucky One,2012,101 min,"Drama, Mystery, Romance",PG-13,6.4,"60,457,138"
16,Dear John,2010,108 min,"Drama, Mystery, Romance",PG-13,6.3,"80,014,842"
17,The Last Song,2010,107 min,"Drama, Music, Romance",PG,6,"62,950,384"
18,The Notebook,2004,123 min,"Drama, Romance",PG-13,7.8,"81,001,787"
19,Nights in Rodanthe,2008,97 min,"Drama, Romance",PG-13,6,"41,850,659"
20,Angels & Demons,2009,138 min,"Action, Mystery, Thriller",PG-13,6.7,"133,375,846"
21,The Da Vinci Code,2006,149 min,"Mystery, Thriller",PG-13,6.6,"217,536,138"
22,The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery",R,7.8,"102,515,793"
23,The Girl with the Dragon Tattoo,2009,152 min,"Crime, Drama, Mystery",R,7.8,"10,095,170"
24,The Girl Who Played with Fire,2009,129 min,"Action, Crime, Drama",R,7.1,"9,081,782"
25,The Golden Compass,2007,113 min,"Adventure, Family, Fantasy",PG-13,6.1,"70,107,728"
26,Evil,2003,113 min,Drama,Not Rated,7.7,"15,280"
27,The Girl Who Kicked the Hornet's Nest,2009,147 min,"Crime, Drama, Thriller",R,7.3,"5,427,684"
28,The Green Mile,1999,189 min,"Crime, Drama, Fantasy",R,8.6,"136,801,374"
29,Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy",PG,7.6,"317,575,550"
30,Harry Potter and the Chamber of Secrets,2002,161 min,"Adventure, Family, Fantasy",PG,7.4,"261,988,482"
31,Harry Potter and the Goblet of Fire,2005,157 min,"Adventure, Family, Fantasy",PG-13,7.7,"290,013,036"
32,Harry Potter and the Prisoner of Azkaban,2004,142 min,"Adventure, Family, Fantasy",PG,7.9,"249,358,727"
33,Harry Potter and the Deathly Hallows: Part 2,2011,130 min,"Adventure, Family, Fantasy",PG-13,8.1,"381,011,219"
34,Harry Potter and the Order of the Phoenix,2007,138 min,"Action, Adventure, Family",PG-13,7.5,"292,004,738"
35,Harry Potter and the Deathly Hallows: Part 1,2010,146 min,"Adventure, Family, Fantasy",PG-13,7.7,"295,983,305"
36,Harry Potter and the Half-Blood Prince,2009,153 min,"Action, Adventure, Family",PG,7.6,"301,959,197"
37,The Help,2011,146 min,Drama,PG-13,8.1,"169,708,112"
38,Extremely Loud & Incredibly Close,2011,129 min,"Adventure, Drama, Mystery",PG-13,6.9,"31,847,881"
39,One Day,2011,107 min,"Drama, Romance",PG-13,7,"13,843,771"
40,Forrest Gump,1994,142 min,"Drama, Romance",PG-13,8.8,"330,252,182"
41,Lord of the Flies,1990,90 min,"Adventure, Drama, Thriller",R,6.4,"13,985,225"
42,My Sister's Keeper,2009,109 min,"Drama, Family",PG-13,7.3,"49,200,230"
43,Twilight,2008,122 min,"Drama, Fantasy, Romance",PG-13,5.3,"192,769,854"
44,The Twilight Saga: New Moon,2009,130 min,"Adventure, Drama, Fantasy",PG-13,4.7,"296,623,634"
45,The Twilight Saga: Eclipse,2010,124 min,"Action, Adventure, Drama",PG-13,5,"300,531,751"
46,Percy Jackson & the Olympians: The Lightning Thief,2010,118 min,"Adventure, Family, Fantasy",PG,5.8,"88,761,720"
47,Percy Jackson: Sea of Monsters,2013,106 min,"Adventure, Family, Fantasy",PG,5.7,"68,559,554"
48,Pride & Prejudice,2005,129 min,"Drama, Romance",PG,7.8,"38,405,088"
49,Sense and Sensibility,1995,136 min,"Drama, Romance",PG,7.7,"43,182,776"
50,Mansfield Park,2007,88 min,"Drama, Romance",TV-PG,6.2,N/A
51,Mansfield Park,1999,112 min,"Comedy, Drama, Romance",PG-13,7,"4,764,741"
52,Northanger Abbey,2007,84 min,"Drama, Romance",PG,7.2,N/A
53, Screen Two,19851998,107 min,Drama,PG,7.6,"5,462,325"
54,Emma,1948,105 min,"Drama, Romance",N/A,0,N/A
55,Persuasion,2007,93 min,"Action, Drama, Family",Not Rated,7.4,N/A
56,Stardust,2007,127 min,"Adventure, Family, Fantasy",PG-13,7.6,"38,634,938"
57,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143 min,"Adventure, Family, Fantasy",PG,6.9,"291,709,845"
58,The Chronicles of Narnia: Prince Caspian,2008,150 min,"Action, Adventure, Family",PG,6.5,"141,621,490"
59,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113 min,"Adventure, Family, Fantasy",PG,6.3,"104,386,950"
60,The Hobbit: An Unexpected Journey,2012,169 min,"Adventure, Fantasy",PG-13,7.8,"303,003,568"
61,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",PG-13,8.8,"315,544,750"
62,The Lord of the Rings: The Return of the King,2003,201 min,"Action, Adventure, Drama",PG-13,9,"377,845,905"
63,The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama",PG-13,8.8,"342,551,365"
64,The Lovely Bones,2009,135 min,"Drama, Fantasy, Thriller",PG-13,6.6,"43,818,839"
65,The Pelican Brief,1993,141 min,"Crime, Drama, Mystery",PG-13,6.6,"100,768,056"
66,The Shawshank Redemption,1994,142 min,Drama,R,9.3,"28,341,469"
67,Stand by Me,1986,89 min,"Adventure, Drama",R,8.1,"52,287,414"
68,The Mist,2007,126 min,"Horror, Sci-Fi, Thriller",R,7.1,"25,594,957"
69,Misery,1990,107 min,"Drama, Thriller",R,7.8,"61,276,872"
70,The Time Traveler's Wife,2009,107 min,"Comedy, Drama, Fantasy",PG-13,7.1,"63,414,846"
71,Wuthering Heights,1992,105 min,"Drama, History, Romance",PG,6.6,N/A
72,We Need to Talk About Kevin,2011,112 min,"Drama, Mystery, Thriller",R,7.5,"1,738,692"
73,Appaloosa,2008,115 min,"Action, Crime, Drama",R,6.7,"20,207,003"
74,Atonement,2007,123 min,"Drama, Mystery, Romance",R,7.8,"50,927,067"
75,Awakenings,1990,121 min,"Biography, Drama",PG-13,7.8,"52,096,475"
76,Ballet Shoes,2007,85 min,"Drama, Family, Musical",PG,6.6,N/A
77,Water for Elephants,2011,120 min,"Drama, Romance",PG-13,6.9,"58,709,717"
78,The Lincoln Lawyer,2011,118 min,"Crime, Drama, Mystery",R,7.3,"58,009,200"
79,Jane Eyre,2011,120 min,"Drama, Romance",PG-13,7.3,"11,242,660"
80,Secretariat,2010,123 min,"Biography, Drama, Family",PG,7.2,"59,713,955"
81,The Social Network,2010,120 min,"Biography, Drama",PG-13,7.8,"96,962,694"
82,The Town,2010,125 min,"Crime, Drama, Thriller",R,7.5,"92,186,262"
83,Tamara Drewe,2010,107 min,"Comedy, Drama, Romance",R,6.2,"560,101"
84,Green Zone,2010,115 min,"Action, Drama, Thriller",R,6.8,"35,053,660"
85,Shutter Island,2010,138 min,"Mystery, Thriller",R,8.2,"128,012,934"
86,The Ghost Writer,2010,128 min,"Crime, Drama, Mystery",PG-13,7.2,"15,541,549"
87,The Runaways,2010,106 min,"Biography, Drama, Music",R,6.5,"3,571,735"
88,Winter's Bone,2010,100 min,"Drama, Mystery",R,7.1,"6,531,503"
89,The Blind Side,2009,129 min,"Biography, Drama, Sport",PG-13,7.6,"255,959,475"
90,A Single Man,2009,99 min,"Crime, Drama, Romance",R,7.5,"9,166,863"
91,Crazy Heart,2009,112 min,"Drama, Music, Romance",R,7.2,"39,462,438"
92,Up in the Air,2009,109 min,"Comedy, Drama, Romance",R,7.4,"83,823,381"
93,The Last Station,2009,112 min,"Biography, Drama, Romance",R,6.9,"6,616,974"
94,The Soloist,2009,117 min,"Biography, Drama, Music",PG-13,6.7,"31,670,931"
95,Like Dandelion Dust,2009,100 min,Drama,PG-13,7,"352,810"
96,Public Enemies,2009,140 min,"Action, Biography, Crime",R,7,"97,104,620"
97,Confessions of a Shopaholic,2009,104 min,"Comedy, Romance",PG,5.8,"44,277,350"
98,Inkheart,2008,106 min,"Adventure, Family, Fantasy",PG,6.1,"17,303,424"
99,Revolutionary Road,2008,119 min,"Drama, Romance",R,7.3,"22,911,480"
100,127 Hours,2010,94 min,"Biography, Drama",R,7.5,"18,335,230"
101,100 Rifles,1969,110 min,"Adventure, Drama, War",R,6,N/A
102,The Hunger Games,2012,142 min,"Action, Adventure, Sci-Fi",PG-13,7.2,"408,010,692"
103,The Hunger Games: Catching Fire,2013,146 min,"Action, Adventure, Sci-Fi",PG-13,7.5,"424,668,047"
104,A Beautiful Mind,2001,135 min,"Biography, Drama",PG-13,8.2,"170,742,341"
105,A Civil Action,1998,115 min,Drama,PG-13,6.6,"56,702,901"
106,A Clockwork Orange,1971,136 min,"Crime, Sci-Fi",R,8.3,"6,207,725"
107,A Good Year,2006,117 min,"Comedy, Drama, Romance",PG-13,6.9,"7,458,269"
108,A Little Romance,1979,110 min,"Adventure, Comedy, Romance",PG,7.4,N/A
109,A Room with a View,1985,117 min,"Drama, Romance",Not Rated,7.2,"20,966,644"
110,A Walk to Remember,2002,101 min,"Drama, Romance",PG,7.3,"41,281,092"
111,About a Boy,2002,101 min,"Comedy, Drama, Romance",PG-13,7.1,"41,385,278"
112,All That Heaven Allows,1955,89 min,"Drama, Music, Romance",Passed,7.6,N/A
113,All the Pretty Horses,2000,116 min,"Drama, Romance, Western",PG-13,5.8,"15,527,125"
114,Message in a Bottle,1999,126 min,"Drama, Romance",PG-13,6.2,"52,880,016"
115,The Lucky One,2012,101 min,"Drama, Mystery, Romance",PG-13,6.4,"60,457,138"
116,Dear John,2010,108 min,"Drama, Mystery, Romance",PG-13,6.3,"80,014,842"
117,The Last Song,2010,107 min,"Drama, Music, Romance",PG,6,"62,950,384"
118,The Notebook,2004,123 min,"Drama, Romance",PG-13,7.8,"81,001,787"
119,Nights in Rodanthe,2008,97 min,"Drama, Romance",PG-13,6,"41,850,659"
120,Angels & Demons,2009,138 min,"Action, Mystery, Thriller",PG-13,6.7,"133,375,846"
121,The Da Vinci Code,2006,149 min,"Mystery, Thriller",PG-13,6.6,"217,536,138"
122,The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery",R,7.8,"102,515,793"
123,The Girl with the Dragon Tattoo,2009,152 min,"Crime, Drama, Mystery",R,7.8,"10,095,170"
124,The Girl Who Played with Fire,2009,129 min,"Action, Crime, Drama",R,7.1,"9,081,782"
125,The Golden Compass,2007,113 min,"Adventure, Family, Fantasy",PG-13,6.1,"70,107,728"
126,Evil,2003,113 min,Drama,Not Rated,7.7,"15,280"
127,The Girl Who Kicked the Hornet's Nest,2009,147 min,"Crime, Drama, Thriller",R,7.3,"5,427,684"
128,The Green Mile,1999,189 min,"Crime, Drama, Fantasy",R,8.6,"136,801,374"
129,Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy",PG,7.6,"317,575,550"
130,Harry Potter and the Chamber of Secrets,2002,161 min,"Adventure, Family, Fantasy",PG,7.4,"261,988,482"
131,Harry Potter and the Goblet of Fire,2005,157 min,"Adventure, Family, Fantasy",PG-13,7.7,"290,013,036"
132,Harry Potter and the Prisoner of Azkaban,2004,142 min,"Adventure, Family, Fantasy",PG,7.9,"249,358,727"
133,Harry Potter and the Deathly Hallows: Part 2,2011,130 min,"Adventure, Family, Fantasy",PG-13,8.1,"381,011,219"
134,Harry Potter and the Order of the Phoenix,2007,138 min,"Action, Adventure, Family",PG-13,7.5,"292,004,738"
135,Harry Potter and the Deathly Hallows: Part 1,2010,146 min,"Adventure, Family, Fantasy",PG-13,7.7,"295,983,305"
136,Harry Potter and the Half-Blood Prince,2009,153 min,"Action, Adventure, Family",PG,7.6,"301,959,197"
137,The Help,2011,146 min,Drama,PG-13,8.1,"169,708,112"
138,Extremely Loud & Incredibly Close,2011,129 min,"Adventure, Drama, Mystery",PG-13,6.9,"31,847,881"
139,One Day,2011,107 min,"Drama, Romance",PG-13,7,"13,843,771"
140,Forrest Gump,1994,142 min,"Drama, Romance",PG-13,8.8,"330,252,182"
141,Lord of the Flies,1990,90 min,"Adventure, Drama, Thriller",R,6.4,"13,985,225"
142,My Sister's Keeper,2009,109 min,"Drama, Family",PG-13,7.3,"49,200,230"
143,Twilight,2008,122 min,"Drama, Fantasy, Romance",PG-13,5.3,"192,769,854"
144,The Twilight Saga: New Moon,2009,130 min,"Adventure, Drama, Fantasy",PG-13,4.7,"296,623,634"
145,The Twilight Saga: Eclipse,2010,124 min,"Action, Adventure, Drama",PG-13,5,"300,531,751"
146,Percy Jackson & the Olympians: The Lightning Thief,2010,118 min,"Adventure, Family, Fantasy",PG,5.8,"88,761,720"
147,Percy Jackson: Sea of Monsters,2013,106 min,"Adventure, Family, Fantasy",PG,5.7,"68,559,554"
148,Pride & Prejudice,2005,129 min,"Drama, Romance",PG,7.8,"38,405,088"
149,Sense and Sensibility,1995,136 min,"Drama, Romance",PG,7.7,"43,182,776"
150,Mansfield Park,2007,88 min,"Drama, Romance",TV-PG,6.2,N/A
151,Mansfield Park,1999,112 min,"Comedy, Drama, Romance",PG-13,7,"4,764,741"
152,Northanger Abbey,2007,84 min,"Drama, Romance",PG,7.2,N/A
153, Screen Two,19851998,107 min,Drama,PG,7.6,"5,462,325"
154,Emma,1948,105 min,"Drama, Romance",N/A,0,N/A
155,Persuasion,2007,93 min,"Action, Drama, Family",Not Rated,7.4,N/A
156,Stardust,2007,127 min,"Adventure, Family, Fantasy",PG-13,7.6,"38,634,938"
157,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143 min,"Adventure, Family, Fantasy",PG,6.9,"291,709,845"
158,The Chronicles of Narnia: Prince Caspian,2008,150 min,"Action, Adventure, Family",PG,6.5,"141,621,490"
159,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113 min,"Adventure, Family, Fantasy",PG,6.3,"104,386,950"
160,The Hobbit: An Unexpected Journey,2012,169 min,"Adventure, Fantasy",PG-13,7.8,"303,003,568"
161,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",PG-13,8.8,"315,544,750"
162,The Lord of the Rings: The Return of the King,2003,201 min,"Action, Adventure, Drama",PG-13,9,"377,845,905"
163,The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama",PG-13,8.8,"342,551,365"
164,The Lovely Bones,2009,135 min,"Drama, Fantasy, Thriller",PG-13,6.6,"43,818,839"
165,The Pelican Brief,1993,141 min,"Crime, Drama, Mystery",PG-13,6.6,"100,768,056"
166,The Shawshank Redemption,1994,142 min,Drama,R,9.3,"28,341,469"
167,Stand by Me,1986,89 min,"Adventure, Drama",R,8.1,"52,287,414"
168,The Mist,2007,126 min,"Horror, Sci-Fi, Thriller",R,7.1,"25,594,957"
169,Misery,1990,107 min,"Drama, Thriller",R,7.8,"61,276,872"
170,The Time Traveler's Wife,2009,107 min,"Comedy, Drama, Fantasy",PG-13,7.1,"63,414,846"
171,Wuthering Heights,1992,105 min,"Drama, History, Romance",PG,6.6,N/A
172,We Need to Talk About Kevin,2011,112 min,"Drama, Mystery, Thriller",R,7.5,"1,738,692"
173,Appaloosa,2008,115 min,"Action, Crime, Drama",R,6.7,"20,207,003"
174,Atonement,2007,123 min,"Drama, Mystery, Romance",R,7.8,"50,927,067"
175,Awakenings,1990,121 min,"Biography, Drama",PG-13,7.8,"52,096,475"
176,Ballet Shoes,2007,85 min,"Drama, Family, Musical",PG,6.6,N/A
177,Water for Elephants,2011,120 min,"Drama, Romance",PG-13,6.9,"58,709,717"
178,The Lincoln Lawyer,2011,118 min,"Crime, Drama, Mystery",R,7.3,"58,009,200"
179,Jane Eyre,2011,120 min,"Drama, Romance",PG-13,7.3,"11,242,660"
180,Secretariat,2010,123 min,"Biography, Drama, Family",PG,7.2,"59,713,955"
181,The Social Network,2010,120 min,"Biography, Drama",PG-13,7.8,"96,962,694"
182,The Town,2010,125 min,"Crime, Drama, Thriller",R,7.5,"92,186,262"
183,Tamara Drewe,2010,107 min,"Comedy, Drama, Romance",R,6.2,"560,101"
184,Green Zone,2010,115 min,"Action, Drama, Thriller",R,6.8,"35,053,660"
185,Shutter Island,2010,138 min,"Mystery, Thriller",R,8.2,"128,012,934"
186,The Ghost Writer,2010,128 min,"Crime, Drama, Mystery",PG-13,7.2,"15,541,549"
187,The Runaways,2010,106 min,"Biography, Drama, Music",R,6.5,"3,571,735"
188,Winter's Bone,2010,100 min,"Drama, Mystery",R,7.1,"6,531,503"
189,The Blind Side,2009,129 min,"Biography, Drama, Sport",PG-13,7.6,"255,959,475"
190,A Single Man,2009,99 min,"Crime, Drama, Romance",R,7.5,"9,166,863"
191,Crazy Heart,2009,112 min,"Drama, Music, Romance",R,7.2,"39,462,438"
192,Up in the Air,2009,109 min,"Comedy, Drama, Romance",R,7.4,"83,823,381"
193,The Last Station,2009,112 min,"Biography, Drama, Romance",R,6.9,"6,616,974"
194,The Soloist,2009,117 min,"Biography, Drama, Music",PG-13,6.7,"31,670,931"
195,Like Dandelion Dust,2009,100 min,Drama,PG-13,7,"352,810"
196,Public Enemies,2009,140 min,"Action, Biography, Crime",R,7,"97,104,620"
197,Confessions of a Shopaholic,2009,104 min,"Comedy, Romance",PG,5.8,"44,277,350"
198,Inkheart,2008,106 min,"Adventure, Family, Fantasy",PG,6.1,"17,303,424"
199,Revolutionary Road,2008,119 min,"Drama, Romance",R,7.3,"22,911,480"
