,Title,Author,Book_Published,Movie_Released,Bestseller_List, imdb gross sales 
0,The Invention of Hugo Cabret,Brian Selznick,2007,2011,2007," $185,000,000.00 "
1,My Abandonment,Peter Rock,2009,2018,," $7,000,000.00 "
2,The Help,Kathryn Stockett,2009,2011,2009," $169,708,112.00 "
3,The Cider House Rules,John Irving,1985,1999,1985," $88,000,000.00 "
4,David Copperfield,Charles Dickens,1850,2019,none," $15,000,000.00 "
5,Charlie and the Chocolate Factory,Roald Dahl,1964,2005,2000," $345,000,000.00 "
6,One Flew Over The Cuckoo’s Nest ,Ken Kesey,1963,1975,1962," $163,000,000.00 "
7,The Orchid Thief: A True Story of Beauty and Obsession,Susan Orlean,1998,2002,1998," $32,000,000.00 "
8,Jurassic Park,Michael Crichton,1990,1993,1990," $1,000,000,000.00 "
9,The Hate U Give,Angie Thomas,2017,2018,2017," $34,000,000.00 "
10,Dune,Frank Herbert,1965,2021,1965," $30,000,000.00 "
11,The Shining,Stephen King,1977,1980,1977," $44,000,000.00 "
12,High Fidelity,Nick Hornby,1995,2000,1995," $47,000,000.00 "
13,The Lord of the Rings series,J.R.R. Tolkien,1955,2000,none," $2,900,000.00 "
14,The Chronicles of Narnia,C.S. Lewis,1956,2005,none," $1,579,000,000.00 "
15,If Beale Street Could Talk,James Baldwin,1974,2018,1974," $20,000,000.00 "
16,The Godfather,Mario Puzo,1969,1972,1969," $600,000,000.00 "
17,The Glass Castle,Jeannette Walls,2005,2017,2005," $22,000,000.00 "
18,To Kill a Mockingbird,Harper Lee,1960,1962,1960," $13,000,000.00 "
19,The Princess Bride: S. Morgensternâ€™s Classic Tale of True Love & High Adventure,William Goldman,1973,1987,none," $30,000,000.00 "
20,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012,2014,2012," $52,000,000.00 "
21,Atonement,Ian McEwan,2003,2007,2001," $50,927,067.00 "
22,Life of Pi,Yann Martel,2001,2012,2001," $609,000,000.00 "
23,Push,Sapphire,1996,2009,1996," $63,000,000.00 "
24,12 Years A Slave,Solomon Northup,1853,2013,none," $187,000,000.00 "
25,Fight Club,Chuck Palahniuk,1996,1999,1996," $100,000,000.00 "
26,Crazy Rich Asians,Kevin Kwan,2013,2018,2013," $174,000,000.00 "
27,Call Me By Your Name,André Aciman,2007,2017,2007," $35,000,000.00 "
28,Anna Karenina,Leo Tolstoy,1878,2012,none," $68,000,000.00 "
29,Brokeback Mountain,Annie Proulx,1997,2005,none," $178,000,000.00 "
30,The Color Purple,Alice Walker,1982,1985,1982," $98,000,000.00 "
31,The BFG,Roald Dahl,1982,2016,1982," $183,000,000.00 "
32,The Great Gatsby,F. Scott Fitzgerald,1925,2013,none," $353,000,000.00 "
33,The Hours,Michael Cunningham,1998,2002,1998," $108,000,000.00 "
34,Revolutionary Road,Richard Yates,1961,2008,none," $22,911,480.00 "
35,The Lost Child of Philomena Lee,Martin Sixsmith,1955,2013,none," $100,000,000.00 "
36,Alice's Adventures in Wonderland,Lewis Carroll,1865,2010,none," $1,025,468,216.00 "
37,Little Women,Louisa M. Alcott,1868,2019,none," $216,000,000.00 "
38,Pride and Prejudice,Jane Austen,1813,1995,none," $121,000,000.00 "
39,The Picture of Dorian Gray,Oscar Wilde,1891,1945,none," $1,576,000.00 "
40,127 Hours,Aron Ralston ,2004,2010,None," $18,335,230.00 "
41,100 Rifles,Robert MacLeod,1969,1969,none," $6,000,000.00 "
42,The Hunger Games,Suzanne Collins,2008,2012,2008," $865,000,000.00 "
43,The Hunger Games: Catching Fire,Suzanne Collins,2009,2013,2009," $424,668,047.00 "
44,The Hunger Games: Mockingjay,Suzanne Collins,2010,2014,2010," $755,000,000.00 "
45,A Beautiful Mind,Sylvia Nasar,1998,2001,1998," $170,742,341.00 "
46,A Civil Action,Jonathan Harr,1995,1998,1995," $56,702,901.00 "
47,A Clockwork Orange,Anthony Burgess,1962,1971,1962," $6,207,725.00 "
48,A Good Year,Peter Mayle,2004,2006,none," $42,000,000.00 "
49,A Little Romance,"Patrick Cauvin,",1977,1979,none," $14,300,000.00 "
50,A Room with a View,E.M. Forster,1908,1985,none," $20,966,644.00 "
51,A Walk to Remember,Nicholas Sparks,1999,2002,none," $41,281,092.00 "
52,About a Boy,Nick Hornby,1998,2002,none," $41,385,278.00 "
53,All the Pretty Horses,Cormac McCarthy,1992,2000,1992," $15,527,125.00 "
54,Message in a Bottle,Nicholas Sparks,1998,1999,none," $52,880,016.00 "
55,The Lucky One,Nicholas Sparks,2008,2012,2008," $60,457,138.00 "
56,Dear John,Nicholas Sparks,2006,2010,2006," $80,014,842.00 "
57,The Last Song,Nicholas Sparks,2009,2010,2009," $62,950,384.00 "
58,The Notebook,Nicholas Sparks,1996,2004,1996," $81,001,787.00 "
59,Nights in Rodanthe,Nicholas Sparks,2002,2008,2002," $41,850,659.00 "
60,Angels & Demons,Dan Brown,2000,2009,2000," $133,375,846.00 "
61,The Da Vinci Code,Dan Brown,2003,2006,2003," $217,536,138.00 "
62,The Girl with the Dragon Tattoo,Stieg Larsson,2008,2011,2008," $102,515,793.00 "
63,The Girl Who Played with Fire,Stieg Larsson,2009,none,2009," $9,081,782.00 "
64,The Girl Who Kicked the Hornets' Nest,Stieg Larsson,2009,none,2009," $26,000,000.00 "
65,The Golden Compass,Philip Pullman,1995,2007,1995," $70,107,728.00 "
68,The Green Mile,Stephen King,1996,1999,1996," $136,801,374.00 "
69,Harry Potter and the Sorcerer's Stone,J. K. Rowling,1997,2001,1997," $317,575,550.00 "
70,Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,2002,1998," $261,988,482.00 "
71,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,2004,1999," $249,358,727.00 "
72,Harry Potter and the Goblet of Fire,J. K. Rowling,2000,2005,2000," $290,013,036.00 "
73,Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,2007,2003," $292,004,738.00 "
74,Harry Potter and the Half-Blood Prince,J. K. Rowling,2005,2009,2005," $301,959,197.00 "
75,Harry Potter and the Deathly Hallows: Part 1,J. K. Rowling,2007,2010,2007," $295,983,305.00 "
76,Harry Potter and the Deathly Hallows: Part 2,J. K. Rowling,2007,2011,2007," $381,011,219.00 "
77,Extremely Loud & Incredibly Close,Jonathan Safran Foer,2005,2011,2005," $31,847,881.00 "
78,One Day,David Nicholls,2009,2011,2009," $13,843,771.00 "
79,Forrest Gump,Winston Groom,1986,1994,none," $330,252,182.00 "
80,Lord of the Flies,William Golding,2010,1990,none," $13,985,225.00 "
81,My Sister's Keeper,Jodi Picoult.,2004,2009,2004," $49,200,230.00 "
82,Twilight,Stephenie Meyer,2005,2008,2005," $192,769,854.00 "
83,The Twilight Saga: New Moon,Stephenie Meyer,2006,2009,2006," $296,623,634.00 "
84,The Twilight Saga: Eclipse,Stephenie Meyer,2007,2010,2007," $300,531,751.00 "
85,Percy Jackson & the Olympians: The Lightning Thief,Rick Riordan,2005,2010,none," $88,761,720.00 "
86,Percy Jackson: Sea of Monsters,Rick Riordan,2006,2013,none," $68,559,554.00 "
87,Pride & Prejudice,Jane Austen,1813,2005,none," $38,405,088.00 "
88,Sense and Sensibility,Jane Austen,1815,1995,none," $43,182,776.00 "
89,Mansfield Park,Jane Austen,1814,1999,none," $4,764,741.00 "
90,Northanger Abbey,Jane Austen,1817,2007,none," $2,000,000.00 "
91,Emma,Jane Austen,1815,1996,none," $22,231,658.00 "
92,Persuasion,Jane Austen,1817,1995,none,  N/A  
93,Stardust,Neil Gaiman,1999,2007,none," $38,634,938.00 "
94,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",C.S. Lewis's,1950,2005,none," $291,709,845.00 "
95,The Chronicles of Narnia: Prince Caspian,C.S. Lewis's,1951,2008,none," $141,621,490.00 "
96,The Chronicles of Narnia: The Voyage of the Dawn Treader,C.S. Lewis's,1952,2010,none," $104,386,950.00 "
97,The Hobbit: An Unexpected Journey,J.R.R. Tolkien,1937,2012,none," $303,003,568.00 "
98,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,1954,2001,none," $315,544,750.00 "
99,The Lord of the Rings: The Return of the King,J.R.R. Tolkien,1954,2003,none," $377,845,905.00 "
100,The Lord of the Rings: The Two Towers,J.R.R. Tolkien,1955,2002,none," $342,551,365.00 "
101,The Lovely Bones,Alice Sebold,2002,2009,2002," $43,818,839.00 "
102,The Pelican Brief,John Grisham,1992,1993,1992," $100,768,056.00 "
103,The Shawshank Redemption,Stephen King,1982,1994,none," $28,341,469.00 "
104,Stand by Me,Stephen King,1982,1986,none," $52,287,414.00 "
105,The Mist,Stephen King,1985,2007,none," $25,594,957.00 "
106,Misery,Stephen King,1987,1990,1987," $61,276,872.00 "
107,The Time Traveler's Wife,Audrey Niffenegger,2003,2009,2003," $63,414,846.00 "
108,Wuthering Heights,Emily Brontë ,1847,1939,none," $624,643.00 "
109,We Need to Talk About Kevin,Lionel Shriver,2003,2011,none," $1,738,692.00 "
110,Appaloosa,Robert B. Parker,2005,2008,none," $20,207,003.00 "
111,Atonement,Ian McEwan,2001,2007,2001," $50,927,067.00 "
112,Awakenings,Oliver Sacks,1973,1990,1973," $52,096,475.00 "
113,Ballet Shoes,Noel Streatfeild,1936,2007,none,  N/A  
114,Water for Elephants,Sara Gruen,2003,2011,2006," $58,709,717.00 "
115,The Lincoln Lawyer,Michael Connelly,2005,2011,none," $58,009,200.00 "
116,Jane Eyre,Charlotte Brontë,1847,2011,none," $11,242,660.00 "
117,The Town,Chuck Hogan ,2004,2010,none," $92,186,262.00 "
118,Tamara Drewe,Posy Simmonds,2007,2010,none," $560,101.00 "
119,Shutter Island,Dennis Lehane,2003,2010,2003," $128,012,934.00 "
120,The Ghost Writer,Robert Harris ,2007,2010,2007," $15,541,549.00 "
121,Winter's Bone,Daniel Woodrel,2006,2010,2006," $6,531,503.00 "
122,The Blind Side,Michael Lewis ,2006,2009,2006," $255,959,475.00 "
123,A Single Man,Christopher Isherwood,1964,2009,none," $9,166,863.00 "
124,Crazy Heart,Thomas Cobb,1987,2009,none," $39,462,438.00 "
125,Up in the Air,Walter Kirn,2003,2009,none," $83,823,381.00 "
126,The Last Station,Jay Parini ,1990,2009,1990," $6,616,974.00 "
127,The Soloist,Steve Lopez,2008,2009,2008," $31,670,931.00 "
128,Like Dandelion Dust,Karen Kingsbury,2006,2009,2006," $352,810.00 "
129,Public Enemies,Bryan Burrough,2004,,2004," $97,104,620.00 "
130,Confessions of a Shopaholic,Sophie Kinsella ,2000,2009,2001," $44,277,350.00 "
131,Inkheart,Cornelia Funke ,2003,2008,2003," $17,303,424.00 "
132,Revolutionary Road,Ruchard Yates,1961,2008,None," $22,911,480.00 "
133, The Invention of Hugo Cabret,Brian Selznick,2007,2011,2007," $185,000,000.00 "
134,The Orchid Thief: A True Story of Beauty and Obsession, Susan Orlean,1998,2002,none," $32,000,000.00 "
136,Memoirs of a Geisha,Arthur Golden,1997,2005,1997," $162,000,000.00 "
137,Charlotte's Web,E.B. White,1973,2006,none," $144,000,000.00 "
138,Gone with the Wind,Margaret Mitchell,1936,1939,1936," $390,000,000.00 "
139,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,1976,1994,none," $60,000,000.00 "
141,The Secret Garden,Frances Hodgson Burnett,1911,1993,none," $31,000,000.00 "
142,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,1996,2001,1996," $281,000,000.00 "
144,Holes,Louis Sachar,1998,2003,none," $71,000,000.00 "
145,Bridge to Terabithia,Katherine Paterson,1977,2007,none," $136,000,000.00 "
146,Anne of Green Gables,L.M. Montgomery,1908,1985,none," $793,000.00 "
147,Carrie,Stephen King,1974,1976,1974," $338,000,000.00 "
148,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,2003,2006,2003," $326,000,000.00 "
150,Fahrenheit 451,Ray Bradbury,1953,1966,none," $11,206.00 "
151,The Outsiders,S.E. Hinton ,1967,1983,none," $33,000,000.00 "
152,A Christmas Carol,Charles Dickens,1843,1951,none," $325,000,000.00 "
153,The Neverending Story,Michael Ende,1979,1984,none," $100,000,000.00 "
154,A Little Princess,Frances Hodgson Burnett,1905,1995,none," $10,000,000.00 "
155,How the Grinch Stole Christmas!,Dr. Seuss,1957,2000,none," $345,000,000.00 "
156,"Divergent (Divergent, #1)",Veronica Roth ,2011,2014,2011," $85,000,000.00 "
158,The Stand,Stephen King,1978,1994,none," $288,000,000.00 "
159,The Count of Monte Cristo,Alexandre Dumas,1844,2002,none," $75,000,000.00 "
160,"Jaws (Jaws, #1)",Peter Benchley,1974,1975,1974," $470,000,000.00 "
161,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979,2005,none," $104,000,000.00 "
162,The Fault in Our Stars,John Green,2012,2014,2012," $307,000,000.00 "
163,Paper Towns,John Green,2008,2015,2008," $85,000,000.00 "
164,Of Mice and Men,John Steinbeck,1937,1992,none," $5,500,000.00 "
166,The Kite Runner,Khaled Hosseini ,2003,2007,2004," $20,000,000.00 "
167,The Perks of Being a Wallflower,Stephen Chbosky,1999,2012,2012," $33,000,000.00 "
168,Gone Girl,Gillian Flynn,2012,2014,2012," $369,000,000.00 "
169,The Pelican Brief,John Grisham ,1992,1993,1992," $100,768,056.00 "
170,Dracula,Bram Stoker,1897,1995,none,"$215,862,692 "
